Date,Name,Year,Letterboxd URI
2018-09-25,Sunshine Cleaning,2008,https://boxd.it/1QRs
2020-08-23,Out of Africa,1985,https://boxd.it/2a0S
2020-08-23,Guys and Dolls,1955,https://boxd.it/23Mq
2020-08-23,"Hello, Dolly!",1969,https://boxd.it/1OTG
2020-08-23,Bonnie and Clyde,1967,https://boxd.it/2ajg
2020-08-23,A Single Man,2009,https://boxd.it/1dx4
2020-08-23,Fences,2016,https://boxd.it/dL6A
2020-08-23,Nine,2009,https://boxd.it/1WQA
2020-08-23,The Deer Hunter,1978,https://boxd.it/1T6O
2020-08-23,Twin Peaks,1989,https://boxd.it/g8pk
2020-08-23,Twin Peaks: The Return,2017,https://boxd.it/hN9O
2020-08-23,Spotlight,2015,https://boxd.it/a84k
2020-08-23,Gemini,2017,https://boxd.it/ex2Q
2020-09-30,Antonia's Line,1995,https://boxd.it/29nG
2020-10-03,Picnic at Hanging Rock,2018,https://boxd.it/iRbm
2021-02-10,Legally Blonde 3,,https://boxd.it/jcHI
2021-03-26,Darling Lili,1970,https://boxd.it/Wx2
2022-04-07,Melancholia,2011,https://boxd.it/bPI
2022-06-02,The Laureate,2021,https://boxd.it/3dky
2022-08-28,Whispering Corridors 6: The Humming,2020,https://boxd.it/mdwM
2023-01-11,The Wild Child,1970,https://boxd.it/28rW
2023-01-13,Beaches,2017,https://boxd.it/fgiO
2023-03-03,Black Panther: Wakanda Forever,2022,https://boxd.it/igPu
2023-03-13,Cocaine Bear,2023,https://boxd.it/ugw2
2023-03-14,Wicked,2024,https://boxd.it/e8ME
2023-04-08,What's Love Got to Do with It?,2022,https://boxd.it/u7um
2023-04-28,Silkwood,1983,https://boxd.it/1RQK
2023-05-14,La Cage aux Folles,1978,https://boxd.it/24g6
2023-05-20,American Murderer,2022,https://boxd.it/t6zS
2023-07-20,The Truman Show,1998,https://boxd.it/18U8
2023-07-26,Flightplan,2005,https://boxd.it/1YZu
2023-07-26,His Three Daughters,2023,https://boxd.it/HGx2
2023-08-05,The Old Guard 2,,https://boxd.it/vUSk
2023-08-07,Bodies Bodies Bodies,2022,https://boxd.it/iRcE
2023-08-10,Mothers' Instinct,2024,https://boxd.it/suzK
2023-08-14,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4
2023-08-15,Without Blood,2024,https://boxd.it/zGmM
2023-08-16,Ek Ladki Ko Dekha Toh Aisa Laga,2019,https://boxd.it/jp1g
2023-09-17,The Boss,2016,https://boxd.it/awu2
2023-09-28,Quiz Lady,2023,https://boxd.it/tCT6
2023-10-06,A Haunting in Venice,2023,https://boxd.it/zGdg
2023-10-07,Wicked Little Letters,2023,https://boxd.it/AQXU
2023-10-22,Diabolique,1955,https://boxd.it/29we
2023-11-30,Memory,2023,https://boxd.it/AZ9O
2023-12-20,Friends & Family Christmas,2023,https://boxd.it/IMaU
2024-01-11,The Marvels,2023,https://boxd.it/mwU4
2024-01-20,Waitress: The Musical,2023,https://boxd.it/G9sQ
2024-01-20,Anything Goes,2021,https://boxd.it/xiwY
2024-01-20,A Chorus Line,1985,https://boxd.it/285Q
2024-01-21,Losing Chase,1996,https://boxd.it/3H0y
2024-01-22,Frances Ha,2012,https://boxd.it/41Xg
2024-02-10,A Simple Favor 2,,https://boxd.it/AO6k
2024-02-15,Madame Web,2024,https://boxd.it/nwD0
2024-03-29,Dogtooth,2009,https://boxd.it/158K
2024-05-08,The Young Girls of Rochefort,1967,https://boxd.it/26K8
2024-05-08,What a Feeling,2024,https://boxd.it/L8Ku
2024-05-18,Until Dawn,,https://boxd.it/KOb0
2024-05-24,Incendies,2010,https://boxd.it/Msm
2024-06-22,Perfect Days,2023,https://boxd.it/ATh8
2024-07-05,North Star,2023,https://boxd.it/BeEs
2024-07-14,Longlegs,2024,https://boxd.it/KzLM
